@relation occupancy
@attribute timestamp numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute light numeric
@attribute CO2 numeric
@attribute humidityRatio numeric
@attribute class {no, yes}
@data
9.223372036854776E10,23.7,26.272,585.2,749.2,0.00476416,yes
9.223372036854776E10,23.718,26.29,578.4,760.4,0.00477266,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.73,26.29,536.33333333,798.0,0.00477614,yes
9.223372036854776E10,23.754,26.29,509.0,797.0,0.00478309,yes
9.223372036854776E10,23.754,26.35,476.0,803.2,0.00479409,yes
9.223372036854776E10,23.736,26.39,510.0,809.0,0.00479619,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.7,26.56,481.8,824.0,0.00481679,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.7,26.7,469.0,845.33333333,0.00484238,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.7,26.89,464.0,861.0,0.00487711,yes
9.223372036854776E10,23.7,26.9725,455.0,880.0,0.00489219,yes
9.223372036854776E10,23.6,26.89,454.0,891.0,0.00484759,yes
9.223372036854776E10,23.64,26.976,458.0,897.6,0.00487504,yes
9.223372036854776E10,23.65,27.05,464.0,900.5,0.00489149,yes
9.223372036854776E10,23.64,27.1,473.0,908.8,0.00489763,yes
9.223372036854776E10,23.6,27.16,464.0,918.0,0.00489665,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.6,27.29,530.2,929.4,0.00492027,yes
9.223372036854776E10,23.6,27.33,533.6,936.4,0.00492754,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.625,27.3925,498.66666667,961.0,0.00494641,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.6,27.5,522.0,965.33333333,0.00495844,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.6,27.6,488.33333333,983.0,0.00497661,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.6,27.6,511.0,997.2,0.00497661,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.66666667,27.7,503.66666667,1001.0,0.00501505,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.6,27.7225,483.5,1019.0,0.00499888,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.6,27.80428571,480.14285714,1030.42857143,0.00501375,yes
9.223372036854776E10,23.575,27.79,464.0,1026.25,0.00500354,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.6,27.978,470.0,1034.8,0.00504532,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.5,27.978,454.0,1055.25,0.00501476,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.5,28.0,445.0,1053.6,0.00501873,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.39,28.18,455.8,1060.0,0.00501758,yes
9.223372036854776E10,23.39,28.2,451.6,1073.6,0.00502117,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.39,28.2,454.75,1081.0,0.00502117,yes
9.223372036854776E10,23.39,28.2225,454.75,1082.0,0.00502521,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.37,28.39,464.0,1090.6,0.00504913,yes
9.223372036854776E10,23.39,28.32333333,464.0,1086.0,0.00504331,yes
9.223372036854776E10,23.37333333,28.445,464.0,1092.5,0.00506002,yes
9.223372036854776E10,23.39,28.5,471.5,1103.75,0.00507502,yes
9.223372036854776E10,23.32333333,28.5,475.66666667,1104.5,0.00505448,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.29,28.5,467.75,1112.0,0.00504423,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.29,28.7,464.0,1104.0,0.00507992,yes
9.223372036854776E10,23.29,28.7,467.0,1117.2,0.00507992,yes
9.223372036854776E10,23.29,28.675,467.75,1121.25,0.00507546,yes
9.223372036854776E10,?,?,?,?,?,?
9.223372036854776E10,23.29,28.66,459.0,1120.0,0.00507278,yes
